Probability,Pattern,RiskReward,Volatility,MAE,MFE,EndTradeDrawdown
63.71,Triangle,8.070777856,13.6099,-1064.82,2538.48,-953.55
63.13,Triangle,3.140127389,4.702,-1836.9,233.35,-2070.25
60.87,Pennant,2.088763258,2.4025,-1145.3,1090.7,-378.3
63.13,Triangle,3.274711168,4.8576,-745.58,2262.25,-652.07
69.78,Triangle,4.228481013,8.5518,-465.54,888.2,-251.15
66.25,Falling Wedge,3.487383798,3.4337,-1203.72,78.33,-1282.05
63.89,Triangle,2.47418738,2.602,-1300.8,48.92,-1349.72
71.43,Ascending Triangle,2.589417989,3.9621,-837.3,993.57,-229.58
64.54,Triangle,2.428680107,2.6229,-157.61,740.62,-455.43
68.11,Channel Down,2.810810811,3.5252,-27.11,812.08,-83.32
64.11,Falling Wedge,3.294008647,5.4386,-1118.66,1258.42,-884.92
63.92,Triangle,3.681430122,4.9807,-794.34,1121.86,-363.21
66.63,Falling Wedge,3.383551115,4.6161,-33.66,2248.67,-150.56
70.73,Falling Wedge,2.175,2.7838,-1282.48,426.19,-1708.67
63.97,Triangle,2.806534273,3.485,-826.47,1710.28,-77.85
65.7,Triangle,2.832569895,4.3762,-1862.95,473.37,-2336.32
70.16,Triangle,1.853594771,2.7389,-67.4,629.1,-415.65
64.72,Triangle,2.368857851,3.414,-1201.35,519.74,-313.81
65.82,Falling Wedge,3.012765957,3.2618,-83.97,780.07,-39.24
68.36,Triangle,2.035294118,2.5582,-341.46,885.65,-437.49
67.79,Falling Wedge,3.01882243,3.0407,-72.45,564.65,-325.45
70.41,Channel Down,1.507590809,2.339,-169.12,908.65,-456.65
70.43,Falling Wedge,2.532258065,3.5536,-48.66,640.38,-332.84
65.99,Falling Wedge,3.659590044,6.6849,-90.31,988.31,-968.05
63.56,Triangle,2.765363128,3.7651,-415.26,510.82,-163.98
66.13,Falling Wedge,2.978443114,4.866,-41.21,2851.97,-689.64
63.95,Channel Down,1.873611111,2.4731,-202.26,1675.91,-520.11
65.43,Triangle,2.416566312,2.579,-790.24,3711.76,-766.58
72.31,Ascending Triangle,2.22050699,3.6834,-1033.9,2697.07,-1079.18
67.71,Channel Down,2.147179068,2.5163,-76.63,1385,-1176.4
64.88,Triangle,2.47057815,3.3203,-502.49,854.18,-833.82
68.96,Ascending Triangle,2.025675676,2.839,-175.1,812.99,-612.87
71.33,Inverse Head and Shoulders,2.544405998,2.6832,0,1280.07,-294.65
72.75,Channel Down,1.920770878,2.4381,-1798.24,60.07,-1858.31
65.95,Double Bottom,2.361018961,3.0685,-1502.74,1514.56,-894.87
63.98,Triangle,2.228051579,2.5954,0,2817.03,-883.09
68.04,Ascending Triangle,1.130872483,2.3874,-295.64,549.25,-131.71
64.1,Triangle,1.79707113,2.3648,0,1082.86,-403.53
66.72,Falling Wedge,3.427083333,5.4188,-978.41,2941.09,-1788.87
64.59,Falling Wedge,1.829103215,2.4024,-2731.32,581.67,-3312.99
64.75,Inverse Head and Shoulders,2.161826185,2.5421,-422.8,478.8,-350
64.11,Triangle,1.685185185,2.3101,-485.61,638.41,-242.05
72.2,Channel Down,2.353460972,3.3546,-306.84,4588.64,-664.1
65.79,Ascending Triangle,2.750245261,3.9546,-211.2,510,-127.8
63.88,Triangle,2.180658089,2.4952,-2446.36,640.18,-3086.54
69.07,Channel Down,1.930503744,2.4,-2176.45,1254,-678.3
63.26,Triangle,2.445799458,2.7745,-1462.6,1120.73,-2583.33
65.32,Falling Wedge,2.337435897,2.5522,-2048.26,61.78,-2110.04
63.04,Triangle,1.745202559,2.2307,-395.48,718.08,-118.29
67.87,Triangle,3.560810811,4.5841,-1929,1466.04,-617.28
70.3,Falling Wedge,2.336956186,2.5925,-38.14,1662.38,-1228.2
66.67,Falling Wedge,3.773952096,6.0203,-2343.14,3583.99,-1921.25
65.91,Triangle,2.367033847,2.7082,-2088.82,2118.99,-669.09
66.53,Ascending Triangle,2.611367127,3.6674,-320.8,2191.46,-108.32
64.9,Triangle,1.853099927,2.4251,-2505.58,1561.8,-710.29
69.11,Flag,3.061007958,4.2292,-152.83,5042.07,-1800.45
62.99,Triangle,2.895127119,4.8263,-1121.71,4260.18,-2007.4
62.97,Triangle,2.954365079,4.1236,-3628.85,2058.48,-5687.33
62.91,Triangle,2.811466373,3.0869,-2092.28,2663.29,-1857.5
63.07,Triangle,2.629310345,3.3372,-1710.31,2317.92,-2227.9
